DATE  USER  BOARD  TIME  WPM  ERRS
02281910 Zac tuf 10.267 3.537 0.5 
02281910 Zac B 13.042 4.228 0.5 
03050944 Zac tuf 9.62 9.346 0.0 
03050944 Zac B 13.442 2.089 1.0 
03050945 user2 tuf 9.221 4.271 1.0 
03050945 user2 B 9.416 9.55 0.0 
03111317 Zac tuf 13.925 5.933 0.6 
03111320 user2 tuf 10.506 6.737 0.6 
03111340 Zac tuf 10.128 4.08 1.4 
03111342 Zac tuf 10.419 8.32 1.25 
03111346 Zac tuf 9.263 9.068 1.0 
03111346 Zac tuf 9.53 9.434 1.5 
03111346 Zac tuf 11.265 8.732 1.333 
03111346 Zac tuf 12.208 8.345 1.75 
03111346 Zac tuf 11.435 8.402 1.6 
03190914 Zac tuf 17.079 6.324 3.0 
03221104 Zac TUF 11.67 8.226 1.0 
03221104 Zac TUF 9.481 8.227 0.5 
03221104 Zac TUF 12.044 8.746 0.333 
03221104 Zac TUF 11.73 7.95 0.25 
03221104 Zac TUF 11.784 7.96 0.2 
03221215 Zac Red 11.901 8.067 0.0 
03221215 Zac Red 9.262 9.469 0.0 
03221215 Zac Red 12.346 9.337 0.0 
03221215 Zac Red 11.336 8.809 0.0 
03221215 Zac Red 11.89 8.578 0.0 
