DATE  USER  BOARD  TIME  WPM  ERRS  LEN
05061300 Zac dell 14.452 8.303 1.0 41 
05061300 Zac dell 12.648 8.302 0.5 29 
05061300 Zac dell 12.415 8.464 0.333 32 
05061300 Zac dell 14.108 8.107 0.25 47 
05061300 Zac dell 13.184 8.066 0.2 24 
05061300 Zac dell 13.026 8.765 0.167 43 
05061300 Zac dell 13.303 8.515 0.286 46 
05061300 Zac dell 12.934 8.356 0.375 28 
05061300 Zac dell 12.934 8.356 0.375 32 
05061300 Zac dell 12.934 8.356 0.375 46 
05061300 Zac dell 12.896 8.487 0.556 36 
05061300 Zac dell 12.766 8.673 0.7 39 
