DATE  USER  BOARD  TIME  WPM  ERRS  LEN
05061300 Zac dell 14.452 8.303 1.0 41 
05061300 Zac dell 12.648 8.302 0.5 29 
05061300 Zac dell 12.415 8.464 0.333 32 
05061300 Zac dell 14.108 8.107 0.25 47 
05061300 Zac dell 13.184 8.066 0.2 24 
05061300 Zac dell 13.026 8.765 0.167 43 
05061300 Zac dell 13.303 8.515 0.286 46 
05061300 Zac dell 12.934 8.356 0.375 28 
05061300 Zac dell 12.934 8.356 0.375 32 
05061300 Zac dell 12.934 8.356 0.375 46 
05061300 Zac dell 12.896 8.487 0.556 36 
05061300 Zac dell 12.766 8.673 0.7 39 
05061316 Zac logitech 19.39 6.189 0.0 48 
05061316 Zac logitech 15.457 8.3 0.0 39 
05061316 Zac logitech 16.167 8.661 1.0 43 
05061316 Zac logitech 15.502 8.439 0.75 35 
05061316 Zac logitech 14.724 9.077 0.6 38 
05061316 Zac logitech 13.702 9.019 0.5 28 
05061316 Zac logitech 12.852 8.836 0.571 19 
05061316 Zac logitech 12.876 9.169 0.75 43 
05061316 Zac logitech 12.611 9.262 0.667 31 
05061316 Zac logitech 12.611 9.262 0.667 43 
05061316 Zac logitech 12.316 9.423 0.6 33 
05061320 Zac logitech 7.279 8.243 1.0 23 
05061322 Zac hp1 14.134 7.429 0.0 35 
05061322 Zac hp1 15.701 8.492 0.5 43 
05061322 Zac hp1 16.325 8.222 0.333 45 
05061322 Zac hp1 16.325 8.222 0.333 35 
05061322 Zac hp1 14.635 8.127 0.25 25 
05061322 Zac hp1 14.829 7.847 0.2 46 
05061322 Zac hp1 13.988 8.584 0.333 34 
05061322 Zac hp1 13.775 8.73 0.286 36 
05061322 Zac hp1 13.549 8.891 0.25 42 
05061322 Zac hp1 13.549 8.891 0.25 43 
05061322 Zac hp1 13.087 8.791 0.222 28 
05061322 Zac hp1 13.087 8.791 0.222 42 
05061334 Zac imicro 10.166 7.378 0.0 24 
05061334 Zac imicro 12.234 7.36 0.0 41 
05061334 Zac imicro 11.623 8.752 0.333 34 
05061334 Zac imicro 12.339 8.894 0.25 47 
05061334 Zac imicro 11.6 8.851 0.2 25 
05061334 Zac imicro 10.733 8.938 0.167 19 
05061334 Zac imicro 10.969 9.045 0.286 36 
05061334 Zac imicro 10.969 9.045 0.286 36 
05061334 Zac imicro 11.072 8.55 0.5 23 
05061334 Zac imicro 10.728 8.854 0.444 24 
05061334 Zac imicro 10.607 8.757 0.4 28 
05061337 Zac imicro 15.162 8.904 0.0 46 
05061340 Zac red 8.503 8.82 1.0 24 
05061340 Zac red 11.493 9.071 0.5 45 
05061340 Zac red 10.555 8.351 0.333 19 
05061340 Zac red 11.317 8.469 0.25 42 
05061340 Zac red 12.054 8.175 0.4 46 
05061340 Zac red 12.365 8.608 0.333 43 
05061340 Zac red 12.261 8.668 0.429 33 
05061340 Zac red 11.711 8.777 0.375 24 
05061340 Zac red 11.711 8.777 0.375 43 
05061340 Zac red 11.443 9.236 0.556 34 
05061340 Zac red 11.443 9.236 0.556 34 
05061340 Zac red 11.61 9.113 0.5 41 
05061350 Zac hp2 10.608 11.312 1.0 34 
05061350 Zac hp2 11.011 10.256 0.5 33 
05061350 Zac hp2 10.338 9.062 0.333 23 
05061350 Zac hp2 10.997 8.819 0.25 31 
05061350 Zac hp2 11.303 8.971 0.2 42 
05061350 Zac hp2 11.237 9.768 0.167 43 
05061350 Zac hp2 11.141 10.198 0.143 38 
05061350 Zac hp2 11.141 10.198 0.143 31 
05061350 Zac hp2 11.141 10.198 0.143 23 
05061350 Zac hp2 11.468 10.15 0.25 45 
05061350 Zac hp2 11.021 9.918 0.333 19 
05061350 Zac hp2 10.73 9.851 0.3 28 
